MÃ CK	TÊN CÔNG TY	GIÁ	SÀN
AAA	Công ty Cổ phần Nhựa An Phát Xanh	11.95	HSX
AAM	Công ty Cổ phần Thủy sản Mekong	11.7	HSX
AAT	Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa	9.3	HSX
ABR	Công ty Cổ phần Đầu tư Nhãn hiệu Việt	13	HSX
ABS	Công ty cổ phần Dịch vụ Nông nghiệp Bình Thuận	11.7	HSX
ABT	Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre	39.55	HSX
ACB	Ngân hàng Thương mại Cổ phần Á Châu	23.9	HSX
ACC	Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC	14.2	HSX
ACL	Công ty cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang	24.3	HSX
ADG	Công ty cổ phần Clever Group	39.6	HSX
ADS	Công ty cổ phần Damsan	19.1	HSX
AGD	Công ty Cổ phần Gò Đàng	41.5	HSX
AGG	Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia	39.1	HSX
AGM	Công ty cổ phần Xuất nhập khẩu An Giang	27.25	HSX
AGR	Công ty Cổ phần Chứng khoán Agribank	10.1	HSX
ALP	Công ty Cổ phần Đầu tư Alphanam	3.4	HSX
AMD	Công ty cổ phần Đầu tư và Khoáng sản FLC Stone	3.13	HSX
ANC11601	Trái Phiếu Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế		HSX
ANV	Công ty Cổ phần Nam Việt	57.1	HSX
APC	Công ty Cổ phần Chiếu xạ An Phú	17.6	HSX
APG	Công ty Cổ phần Chứng khoán APG	6.96	HSX
APH	Công ty Cổ phần Tập đoàn An Phát Holdings	12.5	HSX
ASG	Cổ phiếu Công ty Cổ phần Tập đoàn ASG	28.6	HSX
ASIAGF	Quỹ đầu tư tăng trưởng ACB	10.8	HSX
ASM	Công ty Cổ phần Tập đoàn Sao Mai	15.6	HSX
ASP	Công ty Cổ phần Tập đoàn Dầu khí An Pha	6.75	HSX
AST	Công ty Cổ phần Dịch vụ Hàng không Taseco	58.5	HSX
BAF	Công ty Cổ phần Nông nghiệp BaF Việt Nam	33.7	HSX
BAS	Công ty Cổ phần Basa	1.5	HSX
BBC	Công ty Cổ phần Bibica	93.4	HSX
BCE	Công ty Cổ phần Xây dựng và Giao thông Bình Dương	8.9	HSX
BCG	Công ty cổ phần Bamboo Capital	15.15	HSX
BCI	Công ty Cổ phần Đầu tư Xây dựng Bình Chánh	41.9	HSX
BCM	Tổng Công ty Đầu tư và phát triển Công nghiệp - CTCP	61.7	HSX
BFC	Công ty cổ phần Phân bón Bình Điền	21.5	HSX
BGM	Công ty Cổ phần Khai thác và Chế biến Khoáng sản Bắc Giang	0.92	HSX
BHN	Tổng CTCP Bia - Rượu - Nước giải khát Hà Nội	52.5	HSX
BHS	Công ty Cổ phần Đường Biên Hòa	22	HSX
BIC	Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và phát triển Việt Nam	27.9	HSX
BID	Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam	31.8	HSX
BKG	Công ty Cổ phần Đầu tư BKG Việt Nam	5.55	HSX
BMC	Công ty cổ phần Khoáng sản Bình Định	13.5	HSX
BMI	Tổng Công ty Cổ phần Bảo Minh	30.2	HSX
BMP	Công ty Cổ phần Nhựa Bình Minh	55.5	HSX
BRC	Công ty Cổ phần Cao su Bến Thành	12.65	HSX
BSI	Công ty cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam	23.3	HSX
BTP	Công ty Cổ phần Nhiệt điện Bà Rịa	16.6	HSX
BTT	Công ty Cổ phần Thương mại - Dịch vụ Bến Thành	47.55	HSX
BVH	Tập đoàn Bảo Việt	55.9	HSX
BWE	Công ty Cổ phần Nước – Môi trường Bình Dương	50.6	HSX
C32	Công ty Cổ phần CIC39	25.4	HSX
C47	Công ty Cổ phần Xây dựng 47	12.8	HSX
CAV	Công ty cổ phần Dây Cáp Điện Việt Nam	58.7	HSX
CCI	Công ty Cổ phần Đầu tư Phát triển Công nghiệp - Thương mại Củ Chi	30.2	HSX
CCL	Công ty cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long	10.15	HSX
CDC	Công ty Cổ phần Chương Dương	17.15	HSX
CEE	Công ty Cổ phần Xây dựng Hạ tầng CII	10.7	HSX
CFPT2016	Chứng quyền FPT/8M/SSI/C/EU/Cash-08	9.32	HSX
CFPT2101	Chứng quyền CFPT04MBS20CE	4.5	HSX
CFPT2102	Chứng quyền FPT/VCSC/M/Au/T/A3	0.85	HSX
CFPT2103	Chứng quyền FPT-HSC-MET07	0.08	HSX
CFPT2104	Chứng quyền FPT/ACBS/Call/EU/Cash/4M/10	1.85	HSX
CFPT2105	Chứng quyền FPT/5M/SSI/C/EU/Cash-10	1.62	HSX
CHDB2101	Chứng quyền.HDB.KIS.M.CA.T.06	4.92	HSX
CHP	Công ty Cổ phần Thủy điện miền Trung	24	HSX
CHPG2020	Chứng quyền.HPG.VND.M.CA.T.2020.02	43.99	HSX
CHPG2101	Chứng quyền.HPG.KIS.M.CA.T.10	10.1	HSX
CHPG2102	Chứng quyền HPG/ACBS/Call/EU/Cash/6M/02	30.5	HSX
CHPG2103	Chứng quyền.HPG.VND.M.CA.T.2020.03	14.08	HSX
CHPG2104	Chứng quyền CHPG04MBS20CE	8.75	HSX
CHPG2105	Chứng quyền HPG-HSC-MET06	19.77	HSX
CHPG2106	Chứng quyền CHPG01MBS21CE	7.54	HSX
CHPG2107	Chứng quyền.HPG.KIS.M.CA.T.11	6.8	HSX
CHPG2108	Chứng quyền.HPG.KIS.M.CA.T.12	6.5	HSX
CHPG2109	Chứng quyền HPG/VCSC/M/Au/T/A2	0.12	HSX
CHPG2110	Chứng quyền HPG/ACBS/Call/EU/Cash/4M/05	0.91	HSX
